cluster	geneID	annotation	relation
1	BA0173	"ABC.transporter,.permease.protein"	1
1	BA0174	"ABC.transporter,.ATP-bi-999ing.protein"	1
1	BA0185	"oligopeptide.ABC.transporter,.permease.protein"	2
1	BA0679	conserved.hypothetical.protein	1
1	BA0680	"oxidoreductase,.FAD-bi-999ing"	1
1	BA1169	protein.export.protein.prsA	2
1	BA2374	"drug.resistance.transporter,.EmrB/QacA.family"	1
1	BA2692	conserved.hypothetical.protein	1
1	BA2775	TPP-depe-999ent.acetoin.dehydrogenase.E1.beta-subunit	1
1	BA3166	isochorismatase.family.protein	1
1	BA3168	conserved.hypothetical.protein	1
1	BA3169	"conserved.hypothetical.protein,.authentic.point.mutation"	1
1	BA3312	diaminobutyrate-2-oxoglutarate.transaminase	1
1	BA3381	conserved.hypothetical.protein	1
1	BA4246	"membrane.protein,.putative"	1
1	BA4255	"ribulose.bisphosphate.carboxylase,.putative"	1
1	BA4256	"hydrolase,.haloacid.dehalogenase-like.family"	1
1	BA4257	class.II.aldolase/adducin.domain.protein	1
1	BA4258	"5-methylthio-3-oxo-1-penten-1,2-diol.dioxygenase,.putative"	1
1	BA4339	8-amino-7-oxononanoate.synthase	1
1	BA4341	adenosylmethionine--8-amino-7-oxononanoate.aminotransferase	1
1	BA4478	5-methyltetrahydrofolate--homocysteine.methyltransferase	1
1	BA4479	homocysteine.S-methyltransferase.domain.protein/methylenetetrahydrofolate.reductase.family.protein	1
1	BA4480	cystathionine.beta-lyase	1
1	BA5159	pyridine.nucleotide-disulphide.oxidoreductase	1
1	BA5219	"ABC.transporter,.substrate-bi-999ing.protein,.putative"	1
1	BA5220	"ABC.transporter,.substrate-bi-999ing.protein,.putative"	1
2	BA5569	conserved.hypothetical.protein	2
2	BA5591	cardiolipin.synthetase.domain.protein	1
2	pXO1-16	plasmid	1
2	pXO1-18	plasmid	1
2	BA0187	"oligopeptide.ABC.transporter,.ATP-bi-999ing.protein"	2
2	BA0188	"oligopeptide.ABC.transporter,.ATP-bi-999ing.protein"	2
2	BA0637	conserved.hypothetical.protein	1
2	BA0683	u-999ecaprenol.kinase.family.protein	1
2	BA0715	"phosphate.ABC.transporter,.phosphate-bi-999ing.protein,.putative"	2
2	BA0717	"phosphate.ABC.transporter,.permease.protein,.putative"	2
2	BA1120	CAAX.amino.terminal.protease.family.protein	1
2	BA1489	superoxide.dismutase	1
2	BA1934	"branched-chain.amino.acid.ABC.transporter,.ATP-bi-999ing.protein"	1
2	BA2353	2-hydroxy-3-oxopropionate.reductase	3
2	BA2480	"ABC.transporter,.permease.protein,.putative"	1
2	BA2481	"ABC.transporter,.permease.protein"	1
2	BA2698	conserved.hypothetical.protein	1
2	BA3534	"iron.compou-999.ABC.transporter,.permease.protein"	1
2	BA4404	"exodeoxyribonuclease.VII,.large.subunit"	1
3	BA5567	"membrane.protein,.putative"	1
3	BA5597	DNA-bi-999ing.response.regulator	1
3	pXO1-30	plasmid	1
3	BA0024	sigma-k.factor.processing.regulatory.protein.BofA	1
3	BA0056	S4.domain.protein	1
3	BA0058	"membrane.protein,.putative"	1
3	BA0196	"oxidoreductase,.aldo/keto.reductase.family"	3
3	BA0492	amino.acid.permease.family.protein	1
3	BA0901	"proline.racemase,.putative"	1
3	BA1086	"sugar-bi-999ing.transcriptional.regulator,.LacI.family"	2
3	BA1215	conserved.domain.protein	1
3	BA1478	"sensor.histidine.kinase,.authentic.frameshift"	1
3	BA1846	peptide.methionine.sulfoxide.reductase	1
3	BA1899	"membrane.protein,.putative"	1
3	BA2153	conserved.hypothetical.protein	1
3	BA2642	cobalt.transport.protein	1
3	BA2997	"transcriptional.regulator,.IclR.family"	1
3	BA3374	"membrane.protein,.putative"	1
3	BA3809	conserved.domain.protein	1
3	BA3953	N.utilization.substance.protein.A	1
3	BA4138	"membrane.protein,.putative"	1
3	BA4140	"methyltransferase,.putative"	1
3	BA4146	conserved.hypothetical.protein	3
3	BA4805	"RNA.methyltransferase,.TrmH.family"	1
3	BA5161	"cell.wall.surface.anchor.domain.protein,.authentic.frameshift"	1
3	BA5313	pyridine.nucleotide-disulphide.oxidoreductase	4
3	BA5337	"conserved.hypothetical.protein,.degenerate"	1
4	BA5497	"efflux.transporter,.R-999.family,.MFP.subunit"	1
4	BA5536	"NADH.dehydrogenase.I,.J.subunit"	1
4	BA5598	sensor.histidine.kinase	1
4	BA5737	ribonuclease.P.protein.component	1
4	pXO1-01	plasmid	1
4	BA0156	conserved.hypothetical.protein	2
4	BA0311	isochorismatase.family.protein	1
4	BA0616	"iron.compou-999.ABC.transporter,.permease.protein"	1
4	BA0994	response.regulator	1
4	BA1306	conserved.hypothetical.protein	1
4	BA1508	"conserved.hypothetical.protein,.authentic.frameshift"	2
4	BA1737	metallo-beta-lactamase.family.protein	1
4	BA1759	"transporter,.EamA.family"	3
4	BA1791	"DNA-bi-999ing.response.regulator,.LuxR.family"	1
4	BA2117	metallo-beta-lactamase.family.protein	1
4	BA2265	"DNA-bi-999ing.response.regulator,.LuxR.family"	1
4	BA2299	arginine.utilization.regulatory.protein.RocR	1
4	BA2498	aminoacyl-histidine.dipeptidase	1
4	BA2513	methylmalonic.acid.semialdehyde.dehydrogenase	1
4	BA2656	conserved.hypothetical.protein	1
4	BA2814	uvrD/Rep.helicase.family.protein	1
4	BA3182	conserved.hypothetical.protein	2
4	BA3219	conserved.hypothetical.protein	1
4	BA3387	"ABC.transporter,.ATP-bi-999ing.protein"	1
4	BA3972	"DNA.processing.Smf.protein,.authentic.frameshift"	1
4	BA3977	signal.peptidase.I.S	1
4	BA4006	primosomal.protein.N`	1
4	BA4396	stage.IV.sporulation.protein.B	1
4	BA4525	cytidine.deaminase	1
4	BA4696	porphobilinogen.deaminase	1
5	BA5441	6-phospho-beta-glucosidase	2
5	BA5553	"ATP.synthase.F0,.A.subunit"	2
5	BA5574	ribosomal.protein.L31	2
5	BA5604	"LPXTG-motif.cell.wall.anchor.domain.protein,.degenerate"	2
5	BA5625	"membrane.protein,.putative"	2
5	BA5673	methyl-accepting.chemotaxis.protein	1
5	BA0003	conserved.hypothetical.protein	1
5	BA0074	DNA-bi-999ing.protein	1
5	BA0149	kinb.signaling.pathway.activation.protein	1
5	BA0513	conserved.hypothetical.protein	3
5	BA0538	conserved.hypothetical.protein	3
5	BA0883	polysaccharide.biosynthesis.protein.CsaA	1
5	BA1455	conserved.hypothetical.protein	1
5	BA1722	AzlC.family.protein	1
5	BA1758	"transcriptional.regulator,.GntR.family"	1
5	BA1878	"sensory.box.histidine.kinase,.authentic.frameshift"	1
5	BA2075	SPFH.domain/Ba-999.7.family.protein	2
5	BA2187	conserved.hypothetical.protein	1
5	BA3251	"3-oxoacyl-(acyl-carrier-protein).synthase.III,.putative"	1
5	BA3335	conserved.hypothetical.protein	1
5	BA3436	bacterial.luciferase.family.protein	1
5	BA3606	inosine-uridine.preferring.nucleoside.hydrolase.family.protein	2
5	BA3689	bioY.family.protein	1
5	BA3743	conserved.hypothetical.protein	2
5	BA3805	"prophage.LambdaBa01,.acyltransferase,.putative"	2
5	BA3979	tRNA.(guanine-N1)-methyltransferase	1
5	BA4316	mutT/nudix.family.protein	1
5	BA4358	"conserved.hypothetical.protein,.authentic.frameshift"	1
5	BA4361	"L-serine.dehydratase,.iron-sulfur-depe-999ent,.beta.subunit"	2
5	BA4400	1-deoxyxylulose-5-phosphate.synthase	2
5	BA4485	metallo-beta-lactamase.family.protein	2
5	BA4521	CBS.domain.protein	1
5	BA4685	DNA.repair.protein.RadC	1
5	BA4702	ATP-depe-999ent.protease.La.1	2
5	BA4703	ATP-depe-999ent.protease.LA	1
5	BA4813	conserved.hypothetical.protein	2
5	BA4976	"molybdopterin.biosynthesis.protein.MoeB,.putative"	1
5	BA4997	"ABC.transporter,.ATP-bi-999ing.protein"	2
5	BA5002	conserved.hypothetical.protein	1
5	BA5097	"carbohydrate.kinase,.PfkB.family"	1
5	BA5265	conserved.hypothetical.protein	3
5	BA5289	sodium/alanine.symporter.family.protein	1
5	BA5294	conserved.hypothetical.protein.TIGR00730	2
5	BA5314	tyrosyl-tRNA.synthetase	2
6	BA5724	GTP-bi-999ing.protein.YchF	3
6	BA0509	formate.acetyltransferase	1
6	BA0559	sensor.histidine.kinase	1
6	BA0610	L-lactate.permease	1
6	BA0756	conserved.hypothetical.protein	1
6	BA1435	"CDP-diacylglycerol--serine.O-phosphatidyltransferase,.putative"	1
6	BA1488	conserved.hypothetical.protein	1
6	BA1514	"N-acetylmuramoyl-L-alanine.amidase,.family.2"	3
6	BA1954	"ABC.transporter,.ATP-bi-999ing/permease.protein,.authentic.point.mutation"	1
6	BA1972	"lipoprotein,.putative"	3
6	BA2558	conserved.hypothetical.protein	1
6	BA2937	conserved.hypothetical.protein	1
6	BA3094	"membrane.protein,.putative"	2
6	BA3206	"peptidase,.M20/M25/M40.family"	1
6	BA3317	amino.acid.permease.family.protein	1
6	BA3322	conserved.domain.protein	1
6	BA3323	conserved.hypothetical.protein	1
6	BA3355	thiol-activated.cytolysin	1
6	BA3359	conserved.hypothetical.protein	1
6	BA3421	"ATP.synthase.protein.I,.putative"	2
6	BA4157	pyruvate.carboxylase	1
6	BA4338	"bioH.protein,.putative"	1
6	BA4535	conserved.hypothetical.protein	3
6	BA4584	minor.extracellular.protease.VpR	1
6	BA4610	"peptidase,.U32.family"	3
6	BA4651	Holliday.junction.DNA.helicase.RuvA	1
6	BA4969	glucose.uptake.protein	4
6	BA5209	"5'-nucleotidase.family.protein,.truncation"	1
7	BA5414	carboxyl-terminal.protease	1
7	BA5534	"NADH.dehydrogenase.I,.L.subunit"	3
7	BA0029	conserved.hypothetical.protein	3
7	BA0759	conserved.hypothetical.protein	2
7	BA0869	methylpurine-DNA.glycosylase.family.protein	3
7	BA0909	"oligopeptide.ABC.transporter,.permease.protein"	3
7	BA0912	"oligopeptide.ABC.transporter,.ATP-bi-999ing.protein"	3
7	BA1140	signal.peptidase.I	1
7	BA1201	"membrane.protein,.putative"	1
7	BA1948	"lipoprotein,.putative"	1
7	BA4033	conserved.hypothetical.protein	1
7	BA4034	isoleucyl-tRNA.synthetase	3
7	BA4168	inositol.monophosphatase.family.protein	1
7	BA4369	"ribosomal-protein-alanine.acetyltransferase,.putative"	1
7	BA4542	oxygen-i-999epe-999ent.coproporphyrinogen.III.oxidase	1
7	BA4554	"pyrroline-5-carboxylate.reductase,.putative"	1
7	BA4672	spo0B-associated.GTP-bi-999ing.protein	1
7	BA4871	DNA-bi-999ing.protein	1
7	BA5186	nifU.domain.protein	1
7	BA5199	"lipoprotein,.putative"	1
8	BA5632	conserved.hypothetical.protein	1
8	BA5695	"nitric-oxide.synthase,.oxygenase.subunit"	4
8	pXO1-94	plasmid	1
8	BA0176	"alcohol.dehydrogenase,.zinc-containing"	1
8	BA0251	"lipoprotein,.putative"	1
8	BA0524	"small.acid-soluble.spore.protein,.gamma-type"	1
8	BA0542	mutT/nudix.family.protein	1
8	BA0723	conserved.domain.protein	3
8	BA1005	conserved.hypothetical.protein	3
8	BA1125	methyl-accepting.chemotaxis.protein	3
8	BA1554	conserved.hypothetical.protein	2
8	BA1705	"transposase,.degenerate"	3
8	BA1809	"conserved.hypothetical.protein,.degenerate"	4
8	BA1817	"N-acetylmuramoyl-L-alanine.amidase,.family.3"	3
8	BA2292	conserved.hypothetical.protein	3
8	BA2356	enoyl-CoA.hydratase/isomerase.family.protein	4
8	BA2447	"transporter,.LysE.family"	1
8	BA2826	"inorganic.pyrophosphatase,.manganese-depe-999ent"	4
